id,status
74,1
70,1
8,1
17,1
38,1
26,1
86,1
59,1
41,1
91,1
68,1
56,1
77,1
5,1
12,1
33,1
27,1
83,1
46,1
94,1
61,1
76,1
2,1
32,1
100,1
79,1
22,1
90,1
95,1
52,1
73,1
16,1
37,1
23,1
87,1
42,1
98,1
65,1
55,1
72,1
6,1
11,1
9,1
36,1
28,1
84,1
47,1
93,1
62,1
58,1
75,1
3,1
14,1
49,1
31,1
29,1
99,1
81,1
63,1
51,1
15,1
40,1
24,1
20,1
88,1
43,1
97,1
66,1
54,1
71,1
69,1
7,1
18,1
10,1
35,1
25,1
85,1
60,1
48,1
92,1
67,1
57,1
78,1
4,1
13,1
50,1
34,1
30,1
82,1
45,1
64,1
1,1
80,1
39,1
21,1
19,1
89,1
44,1
96,1
53,1
